species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Anoda cristata,Anoda,Malvaceae,,,yes,yes,Anoda cristata (L.) Schltdl.,Anoda cristata,(L.) Schltdl.,Malvaceae,Anoda,Malvaceae,Anoda,Accepted,Anoda cristata,Anoda cristata (L.) Schltdl.,Anoda_cristata,Anoda_cristata,Angiosperms
Distimake dissectus,Distimake,Convolvulaceae,,,yes,yes,Distimake dissectus (Jacq.) A.R.Sim?es & Staples,Distimake dissectus,(Jacq.) A.R.Sim?es & Staples,Convolvulaceae,Distimake,NA,NA,NA,Distimake dissectus,Distimake dissectus,Distimake_dissectus,Distimake_dissectus,Angiosperms
Equisetum arvense,Equisetum,Equisetaceae,,,yes,yes,Equisetum arvense L.,Equisetum arvense,L.,Equisetaceae,Equisetum,Equisetaceae,Equisetum,Accepted,Equisetum arvense,Equisetum arvense L.,Equisetum_arvense,Equisetum_arvense,Pteridophytes
Fallopia convolvulus,Fallopia,Polygonaceae,,,yes,yes,Fallopia convolvulus (L.) <a8><a2>.L?ve,Fallopia convolvulus,(L.) <a8><a2>.L?ve,Polygonaceae,Fallopia,Polygonaceae,Fallopia,Accepted,Fallopia convolvulus,Fallopia convolvulus (L.) á.L?ve,Fallopia_convolvulus,Fallopia_convolvulus,Angiosperms
Persicaria hydropiper,Persicaria,Polygonaceae,,,yes,yes,Persicaria hydropiper (L.) Spach,Persicaria hydropiper,(L.) Spach,Polygonaceae,Persicaria,Polygonaceae,Persicaria,Accepted,Persicaria hydropiper,Persicaria hydropiper (L.) Delarbre,Persicaria_hydropiper,Persicaria_hydropiper,Angiosperms
Persicaria maculosa,Persicaria,Polygonaceae,,,yes,yes,Persicaria maculosa Gray,Persicaria maculosa,Gray,Polygonaceae,Persicaria,Polygonaceae,Persicaria,Accepted,Persicaria maculosa,Persicaria maculosa Gray,Persicaria_maculosa,Persicaria_maculosa,Angiosperms
Phalaris minor,Phalaris,Poaceae,,,yes,yes,Phalaris minor Retz.,Phalaris minor,Retz.,Poaceae,Phalaris,Poaceae,Phalaris,Accepted,Phalaris minor,Phalaris minor Retz.,Phalaris_minor,Phalaris_minor,Angiosperms
Phalaris paradoxa,Phalaris,Poaceae,,,yes,yes,Phalaris paradoxa L.,Phalaris paradoxa,L.,Poaceae,Phalaris,Poaceae,Phalaris,Accepted,Phalaris paradoxa,Phalaris paradoxa L.,Phalaris_paradoxa,Phalaris_paradoxa,Angiosperms
Phragmites australis,Phragmites,Poaceae,,,yes,yes,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites australis,(Cav.) Trin. ex Steud.,Poaceae,Phragmites,Poaceae,Phragmites,Accepted,Phragmites australis,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites_australis,Phragmites_australis,Angiosperms
Polygonum aviculare,Polygonum,Polygonaceae,,,yes,yes,Polygonum aviculare L.,Polygonum aviculare,L.,Polygonaceae,Polygonum,Polygonaceae,Polygonum,Accepted,Polygonum aviculare,Polygonum aviculare L.,Polygonum_aviculare,Polygonum_aviculare,Angiosperms
Rumex crispus,Rumex,Polygonaceae,,,yes,yes,Rumex crispus L.,Rumex crispus,L.,Polygonaceae,Rumex,Polygonaceae,Rumex,Accepted,Rumex crispus,Rumex crispus L.,Rumex_crispus,Rumex_crispus,Angiosperms
Sambucus nigra,Sambucus,Viburnaceae,,,yes,yes,Sambucus nigra L.,Sambucus nigra,L.,Viburnaceae,Sambucus,Adoxaceae,Sambucus,Accepted,Sambucus nigra,Sambucus nigra L.,Sambucus_nigra,Sambucus_nigra,Angiosperms
Setaria verticillata,Setaria,Poaceae,,,yes,yes,Setaria verticillata (L.) P.Beauv.,Setaria verticillata,(L.) P.Beauv.,Poaceae,Setaria,Poaceae,Setaria,Accepted,Setaria verticillata,Setaria verticillata (L.) P.Beauv.,Setaria_verticillata,Setaria_verticillata,Angiosperms
Setaria viridis,Setaria,Poaceae,,,yes,yes,Setaria viridis (L.) P.Beauv.,Setaria viridis,(L.) P.Beauv.,Poaceae,Setaria,Poaceae,Setaria,Accepted,Setaria viridis,Setaria viridis (L.) P.Beauv.,Setaria_viridis,Setaria_viridis,Angiosperms
Solanum nigrum,Solanum,Solanaceae,Solanum americanum,,yes,yes,Solanum nigrum L.,Solanum nigrum,L.,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum americanum,Solanum americanum Mill.,Solanum_americanum,Solanum_nigrum,Angiosperms
Stellaria media,Stellaria,Caryophyllaceae,,,yes,yes,Stellaria media (L.) Vill.,Stellaria media,(L.) Vill.,Caryophyllaceae,Stellaria,Caryophyllaceae,Stellaria,Accepted,Stellaria media,Stellaria media (L.) Vill.,Stellaria_media,Stellaria_media,Angiosperms
